"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","start","end","t.diff","flag","divenum","depth","duration"
"32","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 1:53","9/1/16 1:59","Dive",1,"U",300,307.5,331,333,NA,NA,2016-08-31 21:53:00,2016-08-31 21:59:00,0,0,15,303.75,332
"33","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 1:59","9/1/16 2:10","Surface",NA,"",NA,NA,667,669,345,323,2016-08-31 21:59:00,2016-08-31 22:10:00,0,0,15,NA,668
"35","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 2:10","9/1/16 2:13","Dive",1,"U",101,102.5,221,223,NA,NA,2016-08-31 22:10:00,2016-08-31 22:13:00,0,0,16,101.75,222
"36","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 2:13","9/1/16 2:26","Surface",NA,"",NA,NA,775,777,300,476,2016-08-31 22:13:00,2016-08-31 22:26:00,0,0,16,NA,776
"37","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 2:26","9/1/16 2:28","Dive",1,"U",61,62.5,109,111,NA,NA,2016-08-31 22:26:00,2016-08-31 22:28:00,0,0,17,61.75,110
"38","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 2:28","9/1/16 2:56","Surface",NA,"",NA,NA,1681,1683,651,1031,2016-08-31 22:28:00,2016-08-31 22:56:00,0,0,17,NA,1682
"39","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 2:56","9/1/16 2:59","Dive",1,"U",122,125.5,197,199,NA,NA,2016-08-31 22:56:00,2016-08-31 22:59:00,0,0,18,123.75,198
"40","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 2:59","9/1/16 3:49","Surface",NA,"",NA,NA,2967,2969,1149,1819,2016-08-31 22:59:00,2016-08-31 23:49:00,0,0,18,NA,2968
"41","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 3:49","9/1/16 3:54","Dive",1,"U",276,283.5,317,319,NA,NA,2016-08-31 23:49:00,2016-08-31 23:54:00,0,0,19,279.75,318
"42","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 3:54","9/1/16 3:57","Surface",NA,"",NA,NA,147,149,138,10,2016-08-31 23:54:00,2016-08-31 23:57:00,0,0,19,NA,148
"43","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 3:57","9/1/16 4:03","Dive",1,"U",268,275.5,379,381,NA,NA,2016-08-31 23:57:00,2016-09-01 00:03:00,0,0,20,271.75,380
"44","Tt0022",110608,NA,"Transmission","Mk10",1,"9/1/16 4:03","9/1/16 4:13","Surface",NA,"",NA,NA,599,601,387,213,2016-09-01 00:03:00,2016-09-01 00:13:00,0,0,20,NA,600
"46","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:05","9/3/16 3:08","Dive",1,"Square",119,121.5,213,215,NA,NA,2016-09-02 23:05:00,2016-09-02 23:08:00,168720,1,21,120.25,214
"47","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:08","9/3/16 3:10","Surface",NA,"",NA,NA,87,89,74,14,2016-09-02 23:08:00,2016-09-02 23:10:00,0,0,21,NA,88
"48","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:10","9/3/16 3:14","Dive",1,"Square",111,112.5,247,249,NA,NA,2016-09-02 23:10:00,2016-09-02 23:14:00,0,0,22,111.75,248
"49","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:14","9/3/16 3:19","Surface",NA,"",NA,NA,307,309,139,169,2016-09-02 23:14:00,2016-09-02 23:19:00,0,0,22,NA,308
"50","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:19","9/3/16 3:21","Dive",1,"V",52.5,53,131,133,NA,NA,2016-09-02 23:19:00,2016-09-02 23:21:00,0,0,23,52.75,132
"51","Tt0022",110608,NA,"Transmission","Mk10",1,"9/3/16 3:21","9/3/16 3:24","Surface",NA,"",NA,NA,177,179,121,57,2016-09-02 23:21:00,2016-09-02 23:24:00,0,0,23,NA,178
