"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","start","end","t.diff","flag","divenum","depth","duration"
"751","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 3:52","9/20/16 3:57","Dive",1,"U",198,201.5,355,357,NA,NA,2016-09-19 23:52:00,2016-09-19 23:57:00,5280,1,338,199.75,356
"752","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 3:57","9/20/16 3:59","Surface",NA,"",NA,NA,97,99,92,6,2016-09-19 23:57:00,2016-09-19 23:59:00,0,0,338,NA,98
"753","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 3:59","9/20/16 4:05","Dive",1,"Square",170,173.5,355,357,NA,NA,2016-09-19 23:59:00,2016-09-20 00:05:00,0,0,339,171.75,356
"754","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:05","9/20/16 4:15","Surface",NA,"",NA,NA,625,627,384,242,2016-09-20 00:05:00,2016-09-20 00:15:00,0,0,339,NA,626
"755","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:15","9/20/16 4:18","Dive",1,"U",71,72.5,177,179,NA,NA,2016-09-20 00:15:00,2016-09-20 00:18:00,0,0,340,71.75,178
"756","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:18","9/20/16 4:23","Surface",NA,"",NA,NA,295,297,210,86,2016-09-20 00:18:00,2016-09-20 00:23:00,0,0,340,NA,296
"757","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:23","9/20/16 4:31","Dive",1,"U",260,267.5,445,447,NA,NA,2016-09-20 00:23:00,2016-09-20 00:31:00,0,0,341,263.75,446
"758","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:31","9/20/16 4:33","Surface",NA,"",NA,NA,119,121,108,12,2016-09-20 00:31:00,2016-09-20 00:33:00,0,0,341,NA,120
"759","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:33","9/20/16 4:38","Dive",1,"U",166,169.5,315,317,NA,NA,2016-09-20 00:33:00,2016-09-20 00:38:00,0,0,342,167.75,316
"760","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:38","9/20/16 4:40","Surface",NA,"",NA,NA,97,99,54,44,2016-09-20 00:38:00,2016-09-20 00:40:00,0,0,342,NA,98
"762","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:40","9/20/16 4:44","Dive",1,"U",130,133.5,273,275,NA,NA,2016-09-20 00:40:00,2016-09-20 00:44:00,0,0,343,131.75,274
"763","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:44","9/20/16 4:51","Surface",NA,"",NA,NA,399,401,335,65,2016-09-20 00:44:00,2016-09-20 00:51:00,0,0,343,NA,400
"764","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:51","9/20/16 4:54","Dive",1,"U",69,70.5,179,181,NA,NA,2016-09-20 00:51:00,2016-09-20 00:54:00,0,0,344,69.75,180
"765","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:54","9/20/16 4:58","Surface",NA,"",NA,NA,255,257,132,124,2016-09-20 00:54:00,2016-09-20 00:58:00,0,0,344,NA,256
"766","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 4:58","9/20/16 5:00","Dive",1,"V",57,58.5,105,107,NA,NA,2016-09-20 00:58:00,2016-09-20 01:00:00,0,0,345,57.75,106
"767","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 5:00","9/20/16 5:03","Surface",NA,"",NA,NA,171,173,100,72,2016-09-20 01:00:00,2016-09-20 01:03:00,0,0,345,NA,172
"768","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 5:03","9/20/16 5:08","Dive",1,"Square",105,106.5,317,319,NA,NA,2016-09-20 01:03:00,2016-09-20 01:08:00,0,0,346,105.75,318
"769","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 5:08","9/20/16 5:12","Surface",NA,"",NA,NA,245,247,175,71,2016-09-20 01:08:00,2016-09-20 01:12:00,0,0,346,NA,246
"770","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 5:12","9/20/16 5:20","Dive",1,"U",284,291.5,467,469,NA,NA,2016-09-20 01:12:00,2016-09-20 01:20:00,0,0,347,287.75,468
"771","Tt0022",110608,NA,"Transmission","Mk10",1,"9/20/16 5:20","9/20/16 5:23","Surface",NA,"",NA,NA,187,189,164,24,2016-09-20 01:20:00,2016-09-20 01:23:00,0,0,347,NA,188
"773","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:42","9/21/16 0:47","Dive",1,"V",122,125.5,301,303,NA,NA,2016-09-20 20:42:00,2016-09-20 20:47:00,69540,1,348,123.75,302
"774","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:47","9/21/16 0:48","Surface",NA,"",NA,NA,81,83,69,13,2016-09-20 20:47:00,2016-09-20 20:48:00,0,0,348,NA,82
"775","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:48","9/21/16 0:53","Dive",1,"V",154,157.5,297,299,NA,NA,2016-09-20 20:48:00,2016-09-20 20:53:00,0,0,349,155.75,298
"776","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:53","9/21/16 0:53","Surface",NA,"",NA,NA,11,13,11,1,2016-09-20 20:53:00,2016-09-20 20:53:00,0,0,349,NA,12
"777","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:53","9/21/16 0:54","Dive",1,"U",93,94.5,83,85,NA,NA,2016-09-20 20:53:00,2016-09-20 20:54:00,0,0,350,93.75,84
"778","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:54","9/21/16 0:56","Surface",NA,"",NA,NA,115,117,97,19,2016-09-20 20:54:00,2016-09-20 20:56:00,0,0,350,NA,116
"779","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:56","9/21/16 0:59","Dive",1,"V",105,106.5,179,181,NA,NA,2016-09-20 20:56:00,2016-09-20 20:59:00,0,0,351,105.75,180
"780","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 0:59","9/21/16 1:04","Surface",NA,"",NA,NA,253,255,188,66,2016-09-20 20:59:00,2016-09-20 21:04:00,0,0,351,NA,254
"781","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 1:04","9/21/16 1:10","Dive",1,"U",300,307.5,355,357,NA,NA,2016-09-20 21:04:00,2016-09-20 21:10:00,0,0,352,303.75,356
"782","Tt0022",110608,NA,"Transmission","Mk10",2,"9/21/16 1:10","9/21/16 1:16","Surface",NA,"",NA,NA,361,363,327,35,2016-09-20 21:10:00,2016-09-20 21:16:00,0,0,352,NA,362
"784","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 3:45","9/21/16 3:50","Dive",1,"U",174,177.5,333,335,NA,NA,2016-09-20 23:45:00,2016-09-20 23:50:00,8940,1,353,175.75,334
"785","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 3:50","9/21/16 3:52","Surface",NA,"",NA,NA,129,131,126,4,2016-09-20 23:50:00,2016-09-20 23:52:00,0,0,353,NA,130
"786","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 3:52","9/21/16 3:58","Dive",1,"Square",158,161.5,335,337,NA,NA,2016-09-20 23:52:00,2016-09-20 23:58:00,0,0,354,159.75,336
"787","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 3:58","9/21/16 4:05","Surface",NA,"",NA,NA,409,411,344,66,2016-09-20 23:58:00,2016-09-21 00:05:00,0,0,354,NA,410
"788","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 4:05","9/21/16 4:10","Dive",1,"U",178,181.5,301,303,NA,NA,2016-09-21 00:05:00,2016-09-21 00:10:00,0,0,355,179.75,302
"789","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 4:10","9/21/16 4:13","Surface",NA,"",NA,NA,213,215,193,21,2016-09-21 00:10:00,2016-09-21 00:13:00,0,0,355,NA,214
"790","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 4:13","9/21/16 4:16","Dive",1,"U",75,76.5,151,153,NA,NA,2016-09-21 00:13:00,2016-09-21 00:16:00,0,0,356,75.75,152
"791","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 4:16","9/21/16 4:20","Surface",NA,"",NA,NA,253,255,213,41,2016-09-21 00:16:00,2016-09-21 00:20:00,0,0,356,NA,254
"792","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 4:20","9/21/16 4:24","Dive",1,"U",150,153.5,263,265,NA,NA,2016-09-21 00:20:00,2016-09-21 00:24:00,0,0,357,151.75,264
"793","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 4:24","9/21/16 4:32","Surface",NA,"",NA,NA,479,481,279,201,2016-09-21 00:24:00,2016-09-21 00:32:00,0,0,357,NA,480
"795","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:14","9/21/16 5:19","Dive",1,"Square",134,137.5,347,349,NA,NA,2016-09-21 01:14:00,2016-09-21 01:19:00,2520,1,358,135.75,348
"796","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:19","9/21/16 5:22","Surface",NA,"",NA,NA,137,139,116,22,2016-09-21 01:19:00,2016-09-21 01:22:00,0,0,358,NA,138
"797","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:22","9/21/16 5:28","Dive",1,"U",126,129.5,359,361,NA,NA,2016-09-21 01:22:00,2016-09-21 01:28:00,0,0,359,127.75,360
"798","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:28","9/21/16 5:33","Surface",NA,"",NA,NA,313,315,162,152,2016-09-21 01:28:00,2016-09-21 01:33:00,0,0,359,NA,314
"799","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:33","9/21/16 5:39","Dive",1,"V",364,371.5,387,389,NA,NA,2016-09-21 01:33:00,2016-09-21 01:39:00,0,0,360,367.75,388
"800","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:39","9/21/16 5:43","Surface",NA,"",NA,NA,203,205,105,99,2016-09-21 01:39:00,2016-09-21 01:43:00,0,0,360,NA,204
"801","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:43","9/21/16 5:46","Dive",1,"U",73,74.5,215,217,NA,NA,2016-09-21 01:43:00,2016-09-21 01:46:00,0,0,361,73.75,216
"802","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:46","9/21/16 5:48","Surface",NA,"",NA,NA,117,119,84,34,2016-09-21 01:46:00,2016-09-21 01:48:00,0,0,361,NA,118
"803","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:48","9/21/16 5:53","Dive",1,"U",109,110.5,293,295,NA,NA,2016-09-21 01:48:00,2016-09-21 01:53:00,0,0,362,109.75,294
"804","Tt0022",110608,NA,"Transmission","Mk10",1,"9/21/16 5:53","9/21/16 5:55","Surface",NA,"",NA,NA,129,131,92,38,2016-09-21 01:53:00,2016-09-21 01:55:00,0,0,362,NA,130
"807","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 0:31","9/22/16 0:36","Dive",1,"U",202,205.5,309,311,NA,NA,2016-09-21 20:31:00,2016-09-21 20:36:00,0,0,363,203.75,310
"808","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 0:36","9/22/16 0:40","Surface",NA,"",NA,NA,235,237,206,30,2016-09-21 20:36:00,2016-09-21 20:40:00,0,0,363,NA,236
"809","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 0:40","9/22/16 0:47","Dive",1,"V",372,379.5,453,455,NA,NA,2016-09-21 20:40:00,2016-09-21 20:47:00,0,0,364,375.75,454
"810","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 0:47","9/22/16 0:54","Surface",NA,"",NA,NA,425,427,344,82,2016-09-21 20:47:00,2016-09-21 20:54:00,0,0,364,NA,426
"811","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 0:54","9/22/16 1:02","Dive",1,"U",356,363.5,427,429,NA,NA,2016-09-21 20:54:00,2016-09-21 21:02:00,0,0,365,359.75,428
"812","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 1:02","9/22/16 1:05","Surface",NA,"",NA,NA,191,193,167,25,2016-09-21 21:02:00,2016-09-21 21:05:00,0,0,365,NA,192
"813","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 1:05","9/22/16 1:14","Dive",1,"U",444,451.5,539,541,NA,NA,2016-09-21 21:05:00,2016-09-21 21:14:00,0,0,366,447.75,540
"814","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 1:14","9/22/16 1:18","Surface",NA,"",NA,NA,283,285,183,101,2016-09-21 21:14:00,2016-09-21 21:18:00,0,0,366,NA,284
"815","Tt0022",110608,NA,"Transmission","Mk10",1,"9/22/16 1:18","9/22/16 1:30","Dive",1,"U",688,703.5,693,695,NA,NA,2016-09-21 21:18:00,2016-09-21 21:30:00,0,0,367,695.75,694
"817","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:30","9/22/16 1:39","Surface",NA,"",NA,NA,591,593,497,95,2016-09-21 21:30:00,2016-09-21 21:39:00,0,0,367,NA,592
"818","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:39","9/22/16 1:44","Dive",1,"U",226,229.5,295,297,NA,NA,2016-09-21 21:39:00,2016-09-21 21:44:00,0,0,368,227.75,296
"819","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:44","9/22/16 1:46","Surface",NA,"",NA,NA,77,79,53,25,2016-09-21 21:44:00,2016-09-21 21:46:00,0,0,368,NA,78
"820","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:46","9/22/16 1:50","Dive",1,"U",150,153.5,291,293,NA,NA,2016-09-21 21:46:00,2016-09-21 21:50:00,0,0,369,151.75,292
"821","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:50","9/22/16 1:52","Surface",NA,"",NA,NA,63,65,58,6,2016-09-21 21:50:00,2016-09-21 21:52:00,0,0,369,NA,64
"822","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:52","9/22/16 1:56","Dive",1,"Square",134,137.5,295,297,NA,NA,2016-09-21 21:52:00,2016-09-21 21:56:00,0,0,370,135.75,296
"823","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:56","9/22/16 1:57","Surface",NA,"",NA,NA,51,53,44,8,2016-09-21 21:56:00,2016-09-21 21:57:00,0,0,370,NA,52
"824","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 1:57","9/22/16 2:01","Dive",1,"V",162,165.5,239,241,NA,NA,2016-09-21 21:57:00,2016-09-21 22:01:00,0,0,371,163.75,240
"825","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 2:01","9/22/16 2:02","Surface",NA,"",NA,NA,49,51,50,0,2016-09-21 22:01:00,2016-09-21 22:02:00,0,0,371,NA,50
"826","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 2:02","9/22/16 2:06","Dive",1,"V",178,181.5,203,205,NA,NA,2016-09-21 22:02:00,2016-09-21 22:06:00,0,0,372,179.75,204
"827","Tt0022",110608,NA,"Transmission","Mk10",2,"9/22/16 2:06","9/22/16 2:07","Surface",NA,"",NA,NA,73,75,69,5,2016-09-21 22:06:00,2016-09-21 22:07:00,0,0,372,NA,74
"829","Tt0022",110608,NA,"Transmission","Mk10",1,"9/23/16 23:23","9/23/16 23:27","Dive",1,"U",71,72.5,247,249,NA,NA,2016-09-23 19:23:00,2016-09-23 19:27:00,162960,1,373,71.75,248
"830","Tt0022",110608,NA,"Transmission","Mk10",1,"9/23/16 23:27","9/23/16 23:43","Surface",NA,"",NA,NA,951,953,215,737,2016-09-23 19:27:00,2016-09-23 19:43:00,0,0,373,NA,952
"831","Tt0022",110608,NA,"Transmission","Mk10",1,"9/23/16 23:43","9/23/16 23:45","Dive",1,"V",57,58.5,175,177,NA,NA,2016-09-23 19:43:00,2016-09-23 19:45:00,0,0,374,57.75,176
"832","Tt0022",110608,NA,"Transmission","Mk10",1,"9/23/16 23:45","9/23/16 23:46","Surface",NA,"",NA,NA,33,35,25,9,2016-09-23 19:45:00,2016-09-23 19:46:00,0,0,374,NA,34
"833","Tt0022",110608,NA,"Transmission","Mk10",1,"9/23/16 23:46","9/23/16 23:50","Dive",1,"V",52.5,53,223,225,NA,NA,2016-09-23 19:46:00,2016-09-23 19:50:00,0,0,375,52.75,224
"834","Tt0022",110608,NA,"Transmission","Mk10",1,"9/23/16 23:50","9/24/16 0:08","Surface",NA,"",NA,NA,1123,1125,254,870,2016-09-23 19:50:00,2016-09-23 20:08:00,0,0,375,NA,1124
"835","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 0:08","9/24/16 0:12","Dive",1,"V",75,76.5,181,183,NA,NA,2016-09-23 20:08:00,2016-09-23 20:12:00,0,0,376,75.75,182
"836","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 0:12","9/24/16 0:26","Surface",NA,"",NA,NA,847,849,137,711,2016-09-23 20:12:00,2016-09-23 20:26:00,0,0,376,NA,848
"837","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 0:26","9/24/16 0:28","Dive",1,"V",89,90.5,153,155,NA,NA,2016-09-23 20:26:00,2016-09-23 20:28:00,0,0,377,89.75,154
"838","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 0:28","9/24/16 0:32","Surface",NA,"",NA,NA,231,233,90,142,2016-09-23 20:28:00,2016-09-23 20:32:00,0,0,377,NA,232
"840","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:11","9/24/16 1:13","Dive",1,"V",63,64.5,149,151,NA,NA,2016-09-23 21:11:00,2016-09-23 21:13:00,2340,1,378,63.75,150
"841","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:13","9/24/16 1:14","Surface",NA,"",NA,NA,47,49,43,5,2016-09-23 21:13:00,2016-09-23 21:14:00,0,0,378,NA,48
"842","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:14","9/24/16 1:18","Dive",1,"V",73,74.5,261,263,NA,NA,2016-09-23 21:14:00,2016-09-23 21:18:00,0,0,379,73.75,262
"843","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:18","9/24/16 1:19","Surface",NA,"",NA,NA,39,41,40,0,2016-09-23 21:18:00,2016-09-23 21:19:00,0,0,379,NA,40
"844","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:19","9/24/16 1:22","Dive",1,"V",83,84.5,181,183,NA,NA,2016-09-23 21:19:00,2016-09-23 21:22:00,0,0,380,83.75,182
"845","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:22","9/24/16 1:35","Surface",NA,"",NA,NA,761,763,147,615,2016-09-23 21:22:00,2016-09-23 21:35:00,0,0,380,NA,762
"846","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:35","9/24/16 1:38","Dive",1,"V",97,98.5,197,199,NA,NA,2016-09-23 21:35:00,2016-09-23 21:38:00,0,0,381,97.75,198
"847","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:38","9/24/16 1:41","Surface",NA,"",NA,NA,175,177,108,68,2016-09-23 21:38:00,2016-09-23 21:41:00,0,0,381,NA,176
"848","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:41","9/24/16 1:48","Dive",1,"U",428,435.5,433,435,NA,NA,2016-09-23 21:41:00,2016-09-23 21:48:00,0,0,382,431.75,434
"849","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 1:48","9/24/16 1:49","Surface",NA,"",NA,NA,31,33,32,0,2016-09-23 21:48:00,2016-09-23 21:49:00,0,0,382,NA,32
"851","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:30","9/24/16 5:31","Dive",1,"U",57,58.5,81,83,NA,NA,2016-09-24 01:30:00,2016-09-24 01:31:00,13260,1,383,57.75,82
"852","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:31","9/24/16 5:40","Surface",NA,"",NA,NA,537,539,156,382,2016-09-24 01:31:00,2016-09-24 01:40:00,0,0,383,NA,538
"853","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:40","9/24/16 5:41","Dive",1,"V",50.5,51,79,81,NA,NA,2016-09-24 01:40:00,2016-09-24 01:41:00,0,0,384,50.75,80
"854","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:41","9/24/16 5:42","Surface",NA,"",NA,NA,49,51,44,6,2016-09-24 01:41:00,2016-09-24 01:42:00,0,0,384,NA,50
"855","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:42","9/24/16 5:44","Dive",1,"V",50.5,51,125,127,NA,NA,2016-09-24 01:42:00,2016-09-24 01:44:00,0,0,385,50.75,126
"856","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:44","9/24/16 5:53","Surface",NA,"",NA,NA,529,531,188,342,2016-09-24 01:44:00,2016-09-24 01:53:00,0,0,385,NA,530
"857","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:53","9/24/16 5:54","Dive",1,"V",53.5,54,83,85,NA,NA,2016-09-24 01:53:00,2016-09-24 01:54:00,0,0,386,53.75,84
"858","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:54","9/24/16 5:55","Surface",NA,"",NA,NA,43,45,38,6,2016-09-24 01:54:00,2016-09-24 01:55:00,0,0,386,NA,44
"859","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:55","9/24/16 5:57","Dive",1,"V",67,68.5,135,137,NA,NA,2016-09-24 01:55:00,2016-09-24 01:57:00,0,0,387,67.75,136
"860","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 5:57","9/24/16 6:00","Surface",NA,"",NA,NA,155,157,45,111,2016-09-24 01:57:00,2016-09-24 02:00:00,0,0,387,NA,156
"862","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:08","9/24/16 23:16","Dive",1,"U",404,411.5,529,531,NA,NA,2016-09-24 19:08:00,2016-09-24 19:16:00,61680,1,388,407.75,530
"863","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:16","9/24/16 23:20","Surface",NA,"",NA,NA,203,205,178,26,2016-09-24 19:16:00,2016-09-24 19:20:00,0,0,388,NA,204
"864","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:20","9/24/16 23:29","Dive",1,"U",380,387.5,537,539,NA,NA,2016-09-24 19:20:00,2016-09-24 19:29:00,0,0,389,383.75,538
"865","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:29","9/24/16 23:32","Surface",NA,"",NA,NA,173,175,152,22,2016-09-24 19:29:00,2016-09-24 19:32:00,0,0,389,NA,174
"866","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:32","9/24/16 23:39","Dive",1,"U",348,355.5,465,467,NA,NA,2016-09-24 19:32:00,2016-09-24 19:39:00,0,0,390,351.75,466
"867","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:39","9/24/16 23:43","Surface",NA,"",NA,NA,203,205,184,20,2016-09-24 19:39:00,2016-09-24 19:43:00,0,0,390,NA,204
"868","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:43","9/24/16 23:45","Dive",1,"U",67,68.5,145,147,NA,NA,2016-09-24 19:43:00,2016-09-24 19:45:00,0,0,391,67.75,146
"869","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:45","9/24/16 23:47","Surface",NA,"",NA,NA,97,99,73,25,2016-09-24 19:45:00,2016-09-24 19:47:00,0,0,391,NA,98
"870","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:47","9/24/16 23:56","Dive",1,"U",460,467.5,537,539,NA,NA,2016-09-24 19:47:00,2016-09-24 19:56:00,0,0,392,463.75,538
"871","Tt0022",110608,NA,"Transmission","Mk10",1,"9/24/16 23:56","9/25/16 0:01","Surface",NA,"",NA,NA,325,327,221,105,2016-09-24 19:56:00,2016-09-24 20:01:00,0,0,392,NA,326
"873","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 2:57","9/25/16 3:01","Dive",1,"U",111,112.5,273,275,NA,NA,2016-09-24 22:57:00,2016-09-24 23:01:00,10560,1,393,111.75,274
"874","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:01","9/25/16 3:03","Surface",NA,"",NA,NA,109,111,85,25,2016-09-24 23:01:00,2016-09-24 23:03:00,0,0,393,NA,110
"875","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:03","9/25/16 3:10","Dive",1,"U",356,363.5,437,439,NA,NA,2016-09-24 23:03:00,2016-09-24 23:10:00,0,0,394,359.75,438
"876","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:10","9/25/16 3:14","Surface",NA,"",NA,NA,197,199,179,19,2016-09-24 23:10:00,2016-09-24 23:14:00,0,0,394,NA,198
"877","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:14","9/25/16 3:21","Dive",1,"U",324,331.5,447,449,NA,NA,2016-09-24 23:14:00,2016-09-24 23:21:00,0,0,395,327.75,448
"878","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:21","9/25/16 3:27","Surface",NA,"",NA,NA,345,347,257,89,2016-09-24 23:21:00,2016-09-24 23:27:00,0,0,395,NA,346
"879","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:27","9/25/16 3:33","Dive",1,"U",316,323.5,381,383,NA,NA,2016-09-24 23:27:00,2016-09-24 23:33:00,0,0,396,319.75,382
"880","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:33","9/25/16 3:39","Surface",NA,"",NA,NA,335,337,303,33,2016-09-24 23:33:00,2016-09-24 23:39:00,0,0,396,NA,336
"881","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:39","9/25/16 3:46","Dive",1,"V",268,275.5,407,409,NA,NA,2016-09-24 23:39:00,2016-09-24 23:46:00,0,0,397,271.75,408
"882","Tt0022",110608,NA,"Transmission","Mk10",2,"9/25/16 3:46","9/25/16 3:48","Surface",NA,"",NA,NA,165,167,145,21,2016-09-24 23:46:00,2016-09-24 23:48:00,0,0,397,NA,166
"884","Tt0022",110608,NA,"Transmission","Mk10",1,"9/25/16 3:48","9/25/16 3:55","Dive",1,"U",332,339.5,421,423,NA,NA,2016-09-24 23:48:00,2016-09-24 23:55:00,0,0,398,335.75,422
"885","Tt0022",110608,NA,"Transmission","Mk10",1,"9/25/16 3:55","9/25/16 4:00","Surface",NA,"",NA,NA,329,331,309,21,2016-09-24 23:55:00,2016-09-25 00:00:00,0,0,398,NA,330
"886","Tt0022",110608,NA,"Transmission","Mk10",1,"9/25/16 4:00","9/25/16 4:06","Dive",1,"U",332,339.5,385,387,NA,NA,2016-09-25 00:00:00,2016-09-25 00:06:00,0,0,399,335.75,386
"887","Tt0022",110608,NA,"Transmission","Mk10",1,"9/25/16 4:06","9/25/16 4:12","Surface",NA,"",NA,NA,339,341,340,0,2016-09-25 00:06:00,2016-09-25 00:12:00,0,0,399,NA,340
"888","Tt0022",110608,NA,"Transmission","Mk10",1,"9/25/16 4:12","9/25/16 4:20","Dive",1,"U",340,347.5,453,455,NA,NA,2016-09-25 00:12:00,2016-09-25 00:20:00,0,0,400,343.75,454
