,DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep,start,end,t.diff,flag,divenum,depth,duration
38,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:10,9/1/2016 0:14,Surface,NA,,NA,NA,239,241,116,124,8/31/2016 20:10,8/31/2016 20:14,0,0,15,NA,240
39,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:14,9/1/2016 0:22,Dive,1,U,340,347.5,427,429,NA,NA,8/31/2016 20:14,8/31/2016 20:22,0,0,16,343.75,428
40,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:22,9/1/2016 0:28,Surface,NA,,NA,NA,399,401,194,206,8/31/2016 20:22,8/31/2016 20:28,0,0,16,NA,400
41,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:28,9/1/2016 0:34,Dive,1,U,436,443.5,357,359,NA,NA,8/31/2016 20:28,8/31/2016 20:34,0,0,17,439.75,358
42,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:34,9/1/2016 0:36,Surface,NA,,NA,NA,137,139,89,49,8/31/2016 20:34,8/31/2016 20:36,0,0,17,NA,138
43,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:36,9/1/2016 0:40,Dive,1,V,111,112.5,229,231,NA,NA,8/31/2016 20:36,8/31/2016 20:40,0,0,18,111.75,230
44,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:40,9/1/2016 0:46,Surface,NA,,NA,NA,347,349,146,202,8/31/2016 20:40,8/31/2016 20:46,0,0,18,NA,348
46,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:47,9/1/2016 0:54,Dive,1,U,468,475.5,449,451,NA,NA,8/31/2016 20:47,8/31/2016 20:54,60,1,19,471.75,450
47,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:54,9/1/2016 0:57,Surface,NA,,NA,NA,201,203,143,59,8/31/2016 20:54,8/31/2016 20:57,0,0,19,NA,202
48,Tt0019,110606,NA,Transmission,Mk10,1,9/1/2016 0:57,9/1/2016 1:05,Dive,1,U,388,395.5,435,437,NA,NA,8/31/2016 20:57,8/31/2016 21:05,0,0,20,391.75,436
